Date,Open,High,Low,Close,Adj Close,Volume
29/09/2021,259.933319,264.5,256.893341,260.436676,260.436676,62828700
30/09/2021,260.333344,263.043335,258.333344,258.493347,258.493347,53868000
1/10/2021,259.466675,260.26001,254.529999,258.406677,258.406677,51094200
4/10/2021,265.5,268.98999,258.706665,260.51001,260.51001,91449900
5/10/2021,261.600006,265.769989,258.066681,260.196655,260.196655,55297800
6/10/2021,258.733337,262.220001,257.73999,260.916656,260.916656,43898400
7/10/2021,261.820007,268.333344,261.126678,264.536682,264.536682,57587400
8/10/2021,265.40332,265.459991,260.303345,261.829987,261.829987,50215800
11/10/2021,262.549988,267.079987,261.833344,263.980011,263.980011,42600900
12/10/2021,266.976654,270.773346,265.523346,268.573334,268.573334,66060000
13/10/2021,270.156677,271.803345,268.593323,270.359985,270.359985,42360300
14/10/2021,271.829987,273.416656,271.116669,272.773346,272.773346,36741600
15/10/2021,274.579987,281.070007,274.116669,281.01001,281.01001,56773800
18/10/2021,283.929993,291.753326,283.823334,290.036682,290.036682,72621600
19/10/2021,292.51001,292.649994,287.503326,288.089996,288.089996,52143300
20/10/2021,288.450012,289.829987,285.793335,288.600006,288.600006,42096300
21/10/2021,285.333344,300,285.166656,298,298,94444500
22/10/2021,298.5,303.333344,296.986664,303.226654,303.226654,68642400
25/10/2021,316.843323,348.339996,314.733337,341.619995,341.619995,188556300
26/10/2021,341.563324,364.980011,333.813324,339.476654,339.476654,187245000
27/10/2021,346.553345,356.959991,343.593323,345.953339,345.953339,115579500
28/10/2021,356.103333,360.333344,351.399994,359.013336,359.013336,81639600
29/10/2021,360.619995,371.736664,357.736664,371.333344,371.333344,89755200
1/11/2021,381.666656,403.25,372.886658,402.863342,402.863342,168146100
2/11/2021,386.453339,402.863342,382,390.666656,390.666656,128213400
3/11/2021,392.443329,405.130005,384.206665,404.619995,404.619995,103885500
4/11/2021,411.470001,414.496674,405.666656,409.970001,409.970001,76192200
5/11/2021,409.333344,413.290009,402.666656,407.363342,407.363342,64886400
8/11/2021,383.263336,399,377.666656,387.646667,387.646667,100337100
9/11/2021,391.200012,391.5,337.17334,341.166656,341.166656,177317400
10/11/2021,336.803345,359.366669,329.103333,355.983337,355.983337,128408100
11/11/2021,367.589996,368.323334,351.559998,354.503326,354.503326,67189800
12/11/2021,349.166656,351.5,339.733337,344.473328,344.473328,76719300
15/11/2021,339.209991,343.993347,326.200012,337.796661,337.796661,104326800
16/11/2021,334.436676,352.399994,334.059998,351.57666,351.57666,79627200
17/11/2021,354.503326,373.213318,351.833344,363.003326,363.003326,94336200
18/11/2021,368.850006,370.666656,358.339996,365.459991,365.459991,62696700
19/11/2021,366.290009,379.573334,364.233337,379.019989,379.019989,64926900
22/11/2021,387.443329,400.649994,377.476654,385.623322,385.623322,99217500
23/11/2021,389.170013,393.5,354.233337,369.676666,369.676666,108515100
24/11/2021,360.130005,377.589996,354,372,372,67680600
26/11/2021,366.48999,369.593323,360.333344,360.640015,360.640015,35042700
29/11/2021,366.996674,380.890015,366.730011,378.996674,378.996674,58393500
30/11/2021,381.456665,389.333344,372.666656,381.58667,381.58667,81276000
1/12/2021,386.899994,390.946655,363.58667,365,365,68450400
2/12/2021,366.353333,371,352.216675,361.533325,361.533325,73114800
3/12/2021,361.59668,363.526672,333.40332,338.323334,338.323334,92322000
6/12/2021,333.83667,340.546661,316.833344,336.33667,336.33667,81663000
7/12/2021,348.066681,352.556671,342.269989,350.583344,350.583344,56084700
8/12/2021,350.90332,357.459991,344.333344,356.320007,356.320007,41906400
9/12/2021,353.546661,354.16333,334.119995,334.600006,334.600006,59438400
10/12/2021,336.25,340.32666,327.51001,339.01001,339.01001,59664300
13/12/2021,333.696655,335,317.140015,322.136658,322.136658,78595500
14/12/2021,315,322.136658,310,319.503326,319.503326,70806300
15/12/2021,317.736664,326.25,309.416656,325.329987,325.329987,75169200
16/12/2021,331.5,331.660004,307.283325,308.973328,308.973328,82771500
17/12/2021,304.92334,320.220001,303.013336,310.856659,310.856659,100437300
20/12/2021,303.566681,307.230011,297.796661,299.980011,299.980011,56480100
21/12/2021,305.623322,313.166656,295.373322,312.843323,312.843323,71517900
22/12/2021,321.886658,338.553345,319.016663,336.290009,336.290009,93634200
23/12/2021,335.600006,357.660004,332.519989,355.666656,355.666656,92713200
27/12/2021,357.890015,372.333344,356.906677,364.646667,364.646667,71145900
28/12/2021,369.829987,373,359.473328,362.823334,362.823334,60324000
29/12/2021,366.213318,368,354.713318,362.063324,362.063324,56154000
30/12/2021,353.776672,365.183319,351.049988,356.779999,356.779999,47040900
31/12/2021,357.813324,360.666656,351.529999,352.26001,352.26001,40733700
3/01/2022,382.583344,400.356659,378.679993,399.926666,399.926666,103931400
4/01/2022,396.516663,402.666656,374.350006,383.196655,383.196655,100248300
5/01/2022,382.216675,390.113342,360.33667,362.706665,362.706665,80119800
6/01/2022,359,362.666656,340.166656,354.899994,354.899994,90336600
7/01/2022,360.123322,360.309998,336.666656,342.320007,342.320007,84164700
10/01/2022,333.333344,353.033325,326.666656,352.706665,352.706665,91815000
11/01/2022,351.223328,358.616669,346.273346,354.799988,354.799988,66063300
12/01/2022,359.616669,371.613342,357.529999,368.73999,368.73999,83739000
13/01/2022,369.690002,371.866669,342.179993,343.853333,343.853333,97209900
14/01/2022,339.959991,350.666656,337.793335,349.869995,349.869995,72924300
18/01/2022,342.203339,356.929993,338.686676,343.503326,343.503326,66743400
19/01/2022,347.236664,351.556671,331.666656,331.883331,331.883331,75442500
20/01/2022,336.57666,347.220001,331.333344,332.089996,332.089996,70488600
21/01/2022,332.113342,334.850006,313.5,314.633331,314.633331,103416000
24/01/2022,301.58667,311.170013,283.823334,310,310,151565700
25/01/2022,304.733337,317.08667,301.070007,306.133331,306.133331,86595900
26/01/2022,317.476654,329.230011,302,312.470001,312.470001,104867400
27/01/2022,311.119995,311.796661,276.333344,276.366669,276.366669,147109500
28/01/2022,277.186676,285.833344,264.003326,282.116669,282.116669,134789100
31/01/2022,290.90332,312.66333,287.350006,312.23999,312.23999,104436000
1/02/2022,311.736664,314.566681,301.666656,310.416656,310.416656,73138200
2/02/2022,309.393341,310.5,296.470001,301.886658,301.886658,66792900
3/02/2022,294,312.333344,293.506653,297.046661,297.046661,78855600
4/02/2022,299.073334,312.166656,293.723328,307.773346,307.773346,73625400
7/02/2022,307.929993,315.92334,300.90332,302.446655,302.446655,60994500
8/02/2022,301.843323,308.763336,298.266663,307.333344,307.333344,50729100
9/02/2022,311.666656,315.42334,306.666656,310.666656,310.666656,52259400
10/02/2022,302.790009,314.603333,298.899994,301.516663,301.516663,66126900
11/02/2022,303.209991,305.320007,283.566681,286.666656,286.666656,79645800
14/02/2022,287.190002,299.626678,284.383331,291.920013,291.920013,67756500
15/02/2022,300,307.666656,297.793335,307.476654,307.476654,57286200
16/02/2022,304.683319,308.809998,300.40332,307.796661,307.796661,51294300
17/02/2022,304.420013,306.166656,291.366669,292.116669,292.116669,55178400
18/02/2022,295.333344,295.623322,279.203339,285.660004,285.660004,68501700
22/02/2022,278.043335,285.57666,267.033325,273.843323,273.843323,83288100
23/02/2022,276.809998,278.433319,253.520004,254.679993,254.679993,95256900
24/02/2022,233.463333,267.493347,233.333328,266.92334,266.92334,135322200
25/02/2022,269.743347,273.166656,260.799988,269.956665,269.956665,76067700
28/02/2022,271.670013,292.286682,271.570007,290.143341,290.143341,99006900
